Timothy Newkirk
Shirley Presley				
Steven O'Grady					
Adele Patrick					
Simon Tatlow					
Miss Janet						
Dennis Ennis					
Lily Walker					
Curtis Milton					
Janice Rimshaw					
Charles Neilsen				
Laura Palmer					
Dennis Trussell				
Emily Neville					
Kevin Wilmott					
Kathy Templeman				
Larry Chilvers					
Angela Metcalfe				
Stephen Young					
Hannah Quant					
Donald Prost					
Bella Hanley					
Jeffries Craig					
Margaret O'Brien						
Donald Brooks					
Xena Bancroft					
Frank Wilton					
Sharon Hackman				
Donald Kendrick				
Sandra Yardley				
Tyler Adams	
Barbara Harper	
Hugh Yeoman	
Miss Diana	
Kevin Vardy	
Barbara Quinn	
Marcus Garrity	
Norma Emerson	
Julian Lewis					
Miss Camilla	
Alvin Webster	
Lisa Johns	
Kevin Newbold	
Zelda Jenkinson	
Paul Macarthur	
Tammy Houston	
Douglas Sadler	
Carrie Newton	
Ryan Doyle	
Rachel Webster	
